TIMESTAMP,DATE TIME,SENSOR NUMBER,THERMISTOR 1,THERMISTOR 2,THERMISTOR 3,THERMISTOR 4,THERMISTOR 5,THERMISTOR 6,THERMISTOR 7
1498953601,2017/07/02 00:00:01,2,74.8800,75.0300,76.0000,76.1000,555.3700,555.3700,76.2200
1498953603,2017/07/02 00:00:03,1,74.3900,74.0500,75.2700,75.1300,555.3700,555.3700,74.9800
1498953606,2017/07/02 00:00:06,2,74.8800,75.0400,76.0000,76.1000,555.3700,555.3700,76.2100
1498953608,2017/07/02 00:00:08,1,74.3900,74.0500,75.2800,75.1200,555.3700,555.3700,74.9800
1498953612,2017/07/02 00:00:12,2,74.8800,75.0400,75.9900,76.0900,555.3700,555.3700,76.2200
1498953613,2017/07/02 00:00:13,1,74.3900,74.0500,75.2800,75.1200,555.3700,555.3700,74.9700
1498953618,2017/07/02 00:00:18,2,74.8800,75.0200,75.9900,76.1000,555.3700,555.3700,76.2200
1498953619,2017/07/02 00:00:19,1,74.3800,74.0400,75.2800,75.1200,555.3700,555.3700,74.9700
1498953623,2017/07/02 00:00:23,2,74.8900,75.0400,76.0100,76.1000,555.3700,555.3700,76.2200
1498953624,2017/07/02 00:00:24,1,74.3900,74.0500,75.2800,75.1100,555.3700,555.3700,74.9800
1498953628,2017/07/02 00:00:28,2,74.8900,75.0400,76.0100,76.1000,555.3700,555.3700,76.2000
1498953629,2017/07/02 00:00:29,1,74.3800,74.0400,75.2600,75.1100,555.3700,555.3700,74.9600
1498953634,2017/07/02 00:00:34,1,74.3900,74.0600,75.2600,75.1300,555.3700,555.3700,74.9900
1498953634,2017/07/02 00:00:34,2,74.8900,75.0400,75.9900,76.0900,555.3700,555.3700,76.2100
1498953639,2017/07/02 00:00:39,1,74.3800,74.0400,75.2800,75.1200,555.3700,555.3700,74.9700
1498953639,2017/07/02 00:00:39,2,74.8800,75.0300,75.9800,76.0800,555.3700,555.3700,76.2100
1498953644,2017/07/02 00:00:44,1,74.3800,74.0400,75.2800,75.1100,555.3700,555.3700,74.9700
1498953644,2017/07/02 00:00:44,2,74.8800,75.0300,75.9900,76.0900,555.3700,555.3700,76.2100
1498953649,2017/07/02 00:00:49,1,74.3900,74.0600,75.2600,75.1300,555.3700,555.3700,74.9700
1498953649,2017/07/02 00:00:49,2,74.8800,75.0200,75.9900,76.0800,555.3700,555.3700,76.2000
1498953654,2017/07/02 00:00:54,2,74.9000,75.0300,76.0000,76.0800,555.3700,555.3700,76.2100
1498953655,2017/07/02 00:00:55,1,74.3900,74.0600,75.2600,75.1300,555.3700,555.3700,74.9700
1498953659,2017/07/02 00:00:59,2,74.8800,75.0200,75.9900,76.0700,555.3700,555.3700,76.2000
1498953660,2017/07/02 00:01:00,1,74.3900,74.0500,75.2500,75.1200,555.3700,555.3700,74.9600
1498953664,2017/07/02 00:01:04,2,74.8900,75.0200,76.0000,76.0700,555.3700,555.3700,76.2100
1498953665,2017/07/02 00:01:05,1,74.3800,74.0500,75.2600,75.1200,555.3700,555.3700,74.9600
1498953670,2017/07/02 00:01:10,2,74.8900,75.0300,76.0000,76.0800,555.3700,555.3700,76.2100
1498953671,2017/07/02 00:01:11,1,74.4000,74.0600,75.2600,75.1100,555.3700,555.3700,74.9700
1498953675,2017/07/02 00:01:15,2,74.8800,75.0300,75.9800,76.0800,555.3700,555.3700,76.2000
1498953676,2017/07/02 00:01:16,1,74.3900,74.0600,75.2600,75.1200,555.3700,555.3700,74.9700
1498953680,2017/07/02 00:01:20,2,74.8900,75.0200,75.9900,76.0900,555.3700,555.3700,76.2200
1498953681,2017/07/02 00:01:21,1,74.3900,74.0600,75.2600,75.1200,555.3700,555.3700,74.9600
1498953685,2017/07/02 00:01:25,2,74.9000,75.0200,75.9900,76.0800,555.3700,555.3700,76.2000
1498953686,2017/07/02 00:01:26,1,74.3900,74.0600,75.2600,75.1100,555.3700,555.3700,74.9600
1498953691,2017/07/02 00:01:31,2,74.8900,75.0200,75.9900,76.0700,555.3700,555.3700,76.1900
1498953692,2017/07/02 00:01:32,1,74.3800,74.0700,75.2700,75.1200,555.3700,555.3700,74.9700
1498953696,2017/07/02 00:01:36,2,74.8900,75.0200,76.0000,76.0800,555.3700,555.3700,76.1900
1498953697,2017/07/02 00:01:37,1,74.3700,74.0600,75.2600,75.1000,555.3700,555.3700,74.9500
1498953701,2017/07/02 00:01:41,2,74.8900,75.0100,75.9900,76.0700,555.3700,555.3700,76.1900
1498953702,2017/07/02 00:01:42,1,74.3900,74.0700,75.2700,75.1100,555.3700,555.3700,74.9600
1498953707,2017/07/02 00:01:47,2,74.9100,75.0200,76.0000,76.0900,555.3700,555.3700,76.2000
1498953708,2017/07/02 00:01:48,1,74.3900,74.0700,75.2700,75.1100,555.3700,555.3700,74.9700
1498953712,2017/07/02 00:01:52,2,74.8900,75.0200,75.9900,76.0800,555.3700,555.3700,76.1900
1498953713,2017/07/02 00:01:53,1,74.3900,74.0700,75.2700,75.1100,555.3700,555.3700,74.9600
1498953717,2017/07/02 00:01:57,2,74.8900,75.0200,75.9900,76.0700,555.3700,555.3700,76.2000
1498953719,2017/07/02 00:01:59,1,74.3800,74.0600,75.2600,75.1100,555.3700,555.3700,74.9500
1498953723,2017/07/02 00:02:03,2,74.8800,75.0200,75.9800,76.0700,555.3700,555.3700,76.1800
1498953724,2017/07/02 00:02:04,1,74.3700,74.0500,75.2500,75.1100,555.3700,555.3700,74.9400
1498953728,2017/07/02 00:02:08,2,74.8900,75.0200,75.9900,76.0800,555.3700,555.3700,76.1900
1498953729,2017/07/02 00:02:09,1,74.3800,74.0700,75.2600,75.1100,555.3700,555.3700,74.9600
1498953733,2017/07/02 00:02:13,2,74.8900,75.0200,75.9900,76.0700,555.3700,555.3700,76.2000
1498953734,2017/07/02 00:02:14,1,74.3900,74.0600,75.2600,75.1100,555.3700,555.3700,74.9600
1498953739,2017/07/02 00:02:19,1,74.3700,74.0600,75.2400,75.1000,555.3700,555.3700,74.9500
1498953739,2017/07/02 00:02:19,2,74.8800,75.0200,75.9700,76.0600,555.3700,555.3700,76.1900
1498953744,2017/07/02 00:02:24,2,74.8800,75.0100,75.9700,76.0600,555.3700,555.3700,76.1900
1498953745,2017/07/02 00:02:25,1,74.3800,74.0700,75.2600,75.1100,555.3700,555.3700,74.9500
1498953749,2017/07/02 00:02:29,2,74.8900,75.0200,75.9900,76.0700,555.3700,555.3700,76.1900
1498953750,2017/07/02 00:02:30,1,74.3800,74.0800,75.2600,75.1100,555.3700,555.3700,74.9500
1498953754,2017/07/02 00:02:34,2,74.8800,75.0000,75.9600,76.0600,555.3700,555.3700,76.1900
1498953755,2017/07/02 00:02:35,1,74.3700,74.0600,75.2400,75.1000,555.3700,555.3700,74.9500
1498953760,2017/07/02 00:02:40,2,74.8700,75.0100,75.9800,76.0500,555.3700,555.3700,76.1900
1498953761,2017/07/02 00:02:41,1,74.3800,74.0700,75.2600,75.1100,555.3700,555.3700,74.9500
1498953765,2017/07/02 00:02:45,2,74.8900,75.0200,75.9900,76.0600,555.3700,555.3700,76.2000
1498953766,2017/07/02 00:02:46,1,74.3800,74.0800,75.2600,75.1100,555.3700,555.3700,74.9500
1498953770,2017/07/02 00:02:50,2,74.8700,75.0000,75.9700,76.0500,555.3700,555.3700,76.1800
1498953771,2017/07/02 00:02:51,1,74.3700,74.0600,75.2400,75.1000,555.3700,555.3700,74.9500
1498953775,2017/07/02 00:02:55,2,74.8900,75.0200,75.9900,76.0600,555.3700,555.3700,76.1900
1498953777,2017/07/02 00:02:57,1,74.3700,74.0800,75.2400,75.1000,555.3700,555.3700,74.9500
1498953780,2017/07/02 00:03:00,2,74.8800,75.0000,75.9600,76.0600,555.3700,555.3700,76.1800
1498953785,2017/07/02 00:03:05,2,74.8800,75.0200,75.9800,76.0700,555.3700,555.3700,76.1900
1498953790,2017/07/02 00:03:10,2,74.8800,75.0200,75.9800,76.0600,555.3700,555.3700,76.1800
1498953796,2017/07/02 00:03:16,2,74.8900,75.0100,75.9700,76.0600,555.3700,555.3700,76.1700
1498953802,2017/07/02 00:03:22,2,74.8900,75.0100,75.9900,76.0700,555.3700,555.3700,76.1900
